year,interval,id,k,precision_at_k,recall_at_k
2023,0,Claim Rate,24,0.3625,0.4833333333333333
2023,0,Top10,10,0.645,0.3583333333333333
2023,0,Top20,20,0.4,0.4444444444444445
2023,90,Claim Rate,23,0.3804347826086957,0.48611111111111105
2023,90,Top10,10,0.595,0.33055555555555555
2023,90,Top20,20,0.41,0.45555555555555555
2023,180,Claim Rate,22,0.23863636363636362,0.29166666666666663
2023,180,Top10,10,0.2,0.11111111111111112
2023,180,Top20,20,0.2225,0.24722222222222223
2023,360,Claim Rate,20,0.2475,0.275
2023,360,Top10,10,0.29,0.1611111111111111
2023,360,Top20,20,0.2475,0.275
2024,0,Claim Rate,10,0.6,0.5
2024,0,Top10,10,0.6,0.5
2024,0,Top20,20,0.47750000000000004,0.7958333333333334
2024,90,Claim Rate,10,0.6,0.5
2024,90,Top10,10,0.6,0.5
2024,90,Top20,20,0.4,0.6666666666666666
2024,180,Claim Rate,9,0.4444444444444445,0.3333333333333333
2024,180,Top10,10,0.41500000000000004,0.3458333333333333
2024,180,Top20,20,0.35,0.5833333333333334
2024,360,Claim Rate,9,0.4444444444444445,0.3333333333333333
2024,360,Top10,10,0.40499999999999997,0.3375
2024,360,Top20,20,0.355,0.5916666666666667
